Results for mm malloc:
trace  valid  util     ops      secs  Kops
 0       yes   99%    5694  0.004901  1162
 1       yes   99%    5848  0.004849  1206
 2       yes   99%    6648  0.006981   952
 3       yes  100%    5380  0.005230  1029
 4       yes   66%   14400  0.000151 95671
 5       yes   92%    4800  0.005043   952
 6       yes   92%    4800  0.004796  1001
 7       yes   55%   12000  0.086508   139
 8       yes   51%   24000  0.209442   115
 9       yes   27%   14401  0.047187   305
10       yes   34%   14401  0.002830  5089


trace  valid  util     ops      secs  Kops
 0       yes   94%    5694  0.000120 47528
 1       yes   94%    5848  0.000100 58724
 2       yes   96%    6648  0.000159 41806
 3       yes   97%    5380  0.000116 46386
 4       yes   66%   14400  0.000156 92396
 5       yes   91%    4800  0.000450 10656
 6       yes   88%    4800  0.000464 10354
 7       yes   54%   12000  0.001142 10507
 8       yes   47%   24000  0.001674 14333
 9       yes   27%   14401  0.046859   307
10       yes   34%   14401  0.002778  5184
Total          72%  112372  0.054018  2080
